Private Entity,External URI,Confidence
A. B.,http://www.wikidata.org/entity/Q1765120,1.0
ATP,http://www.wikidata.org/entity/Q80863,1.0
Abbie E. Smith-Ryan,http://www.wikidata.org/entity/Q51463218,1.0
Ahmun,http://www.wikidata.org/entity/Q118434217,1.0
Alzheimer,http://www.wikidata.org/entity/Q11081,1.0
Bajuk,http://www.wikidata.org/entity/Q21504782,1.0
Balsom PD,NEW ENTITY,0.0
Beltman,http://www.wikidata.org/entity/Q37085788,1.0
Bemben,http://www.wikidata.org/entity/Q36978179,1.0
C. A.,http://www.wikidata.org/entity/Q655719,1.0
CRÉATINE,http://www.wikidata.org/entity/Q223600,1.0
Canada,http://www.wikidata.org/entity/Q16,1.0
Chapel Hill,http://www.wikidata.org/entity/Q671812,1.0
Charcot,http://www.wikidata.org/entity/Q24514244,1.0
Clarkson P,http://www.wikidata.org/entity/Q1726890,1.0
Cognition,http://www.wikidata.org/entity/Q2200417,1.0
Créatine,http://www.wikidata.org/entity/Q223600,1.0
Créatine Ethyl Ester,http://www.wikidata.org/entity/Q3501033,1.0
D. G.,http://www.wikidata.org/entity/Q17319095,1.0
D. J.,http://www.wikidata.org/entity/Q22686,1.0
D. No,http://www.wikidata.org/entity/Q106093603,1.0
Dalton B,http://www.wikidata.org/entity/Q426391,1.0
Ebert,http://www.wikidata.org/entity/Q21491601,1.0
Ferreira M,http://www.wikidata.org/entity/Q47502638,1.0
Forbes,http://www.wikidata.org/entity/Q16275858,1.0
Generally Recognized,http://www.wikidata.org/entity/Q1041116,1.0
Generally Recognized as Safe,http://www.wikidata.org/entity/Q1041116,1.0
Hanefeld,http://www.wikidata.org/entity/Q37504696,1.0
Huntington,http://www.wikidata.org/entity/Q241808,1.0
International Society of Sports Nutrition,http://www.wikidata.org/entity/Q16324699,1.0
J. Creatine,NEW ENTITY,0.0
J. G.,http://www.wikidata.org/entity/Q730330,1.0
J. P.,http://www.wikidata.org/entity/Q56449936,1.0
Kre-Alkalyn,http://www.wikidata.org/entity/Q59292490,1.0
Lougheed,http://www.wikidata.org/entity/Q37463936,1.0
M. G.,http://www.wikidata.org/entity/Q2523019,1.0
MDPI,http://www.wikidata.org/entity/Q30289533,1.0
Manitoba,http://www.wikidata.org/entity/Q1948,1.0
McNaughton LR,NEW ENTITY,0.0
Melton,http://www.wikidata.org/entity/Q1853349,1.0
Natural Killer,http://www.wikidata.org/entity/Q332181,1.0
Nutrients,http://www.wikidata.org/entity/Q7070485,1.0
Parkinson,http://www.wikidata.org/entity/Q11085,1.0
R. B.,http://www.wikidata.org/entity/Q120165342,1.0
R. P.,http://www.wikidata.org/entity/Q18672141,1.0
Rocic,http://www.wikidata.org/entity/Q89698333,1.0
Rourke,http://www.wikidata.org/entity/Q21400534,1.0
Résultats,http://www.wikidata.org/entity/Q51431348,1.0
S. J.,http://www.wikidata.org/entity/Q194402,1.0
Safe,http://www.wikidata.org/entity/Q37234682,1.0
Scientific Reports,http://www.wikidata.org/entity/Q2261792,1.0
Scott Forbes,http://www.wikidata.org/entity/Q112500633,1.0
Skold,http://www.wikidata.org/entity/Q10671206,1.0
Smith,http://www.wikidata.org/entity/Q1158446,1.0
Smith-Ryan,NEW ENTITY,0.0
Soderland K,NEW ENTITY,0.0
Soderlund,http://www.wikidata.org/entity/Q21489001,1.0
T. J.,http://www.wikidata.org/entity/Q30669970,1.0
Tarnopolsky MA,NEW ENTITY,0.0
Terjung RL,NEW ENTITY,0.0
Université de Brandon,http://www.wikidata.org/entity/Q4957110,1.0
V. E. and Gross,NEW ENTITY,0.0
Vincent,http://www.wikidata.org/entity/Q4928254,1.0
Vorgerd M. Creatine,NEW ENTITY,0.0
Wilson M,http://www.wikidata.org/entity/Q10393806,1.0
Znaor,NEW ENTITY,0.0
amino acid,http://www.wikidata.org/entity/Q8066,1.0
anxiety,http://www.wikidata.org/entity/Q154430,1.0
brain,http://www.wikidata.org/entity/Q897386,1.0
chemical compound,http://www.wikidata.org/entity/Q11173,1.0
cognitive function,http://www.wikidata.org/entity/Q13434561,1.0
creatine,http://www.wikidata.org/entity/Q223600,1.0
creatinine,http://www.wikidata.org/entity/Q426660,1.0
depression,http://www.wikidata.org/entity/Q42844,1.0
dietary supplement,http://www.wikidata.org/entity/Q645858,1.0
energy molecule,NEW ENTITY,0.0
immune cell,http://www.wikidata.org/entity/Q104524156,1.0
kidney,http://www.wikidata.org/entity/Q9377,1.0
mental disorder,http://www.wikidata.org/entity/Q12135,1.0
muscle,http://www.wikidata.org/entity/Q7365,1.0
muscle strength,http://www.wikidata.org/entity/Q3076906,1.0
neurodegenerative disease,http://www.wikidata.org/entity/Q1755122,1.0
phosphocreatine,http://www.wikidata.org/entity/Q1984607,1.0
scientific journal,http://www.wikidata.org/entity/Q5633421,1.0
sleep,http://www.wikidata.org/entity/Q35831,1.0
sleep quality,http://www.wikidata.org/entity/Q112115601,1.0
creatine,http://www.wikidata.org/entity/Q223600,1.0
phosphocreatine,http://www.wikidata.org/entity/Q1984607,1.0
ATP,http://www.wikidata.org/entity/Q80863,1.0
muscle,http://www.wikidata.org/entity/Q7365,1.0
brain,http://www.wikidata.org/entity/Q897386,1.0
kidney,http://www.wikidata.org/entity/Q9377,1.0
depression,http://www.wikidata.org/entity/Q42844,1.0
anxiety,http://www.wikidata.org/entity/Q154430,1.0
sleep,http://www.wikidata.org/entity/Q35831,1.0
